"Statistic Label","Census Year","Administrative Counties 2019","Marital Status","Sex","UNIT","VALUE"
"Population","2022","Leitrim County Council","Widowed","Both Sexes","Number","1802"
"Population","2022","Leitrim County Council","Total","Males","Number","17553"
"Population","2022","Leitrim County Council","Total","Females","Number","17646"
"Population","2022","Leitrim County Council","Total","Both Sexes","Number","35199"
"Population","2022","Mayo  County Council","Single","Males","Number","36429"
"Population","2022","Mayo  County Council","Single","Females","Number","32859"
"Population","2022","Mayo  County Council","Single","Both Sexes","Number","69288"
"Population","2022","Mayo  County Council","Married","Males","Number","27248"
"Population","2022","Mayo  County Council","Married","Females","Number","27584"
"Population","2022","Mayo  County Council","Married","Both Sexes","Number","54832"
"Population","2022","Mayo  County Council","Separated","Males","Number","1455"
"Population","2022","Mayo  County Council","Separated","Females","Number","1791"
"Population","2022","Mayo  County Council","Separated","Both Sexes","Number","3246"
"Population","2022","Mayo  County Council","Divorced","Males","Number","1490"
"Population","2022","Mayo  County Council","Divorced","Females","Number","2030"
"Population","2022","Mayo  County Council","Divorced","Both Sexes","Number","3520"
"Population","2022","Mayo  County Council","Widowed","Males","Number","1770"
"Population","2022","Mayo  County Council","Widowed","Females","Number","5314"
"Population","2022","Mayo  County Council","Widowed","Both Sexes","Number","7084"
"Population","2022","Mayo  County Council","Total","Males","Number","68392"
"Population","2022","Mayo  County Council","Total","Females","Number","69578"
"Population","2022","Mayo  County Council","Total","Both Sexes","Number","137970"
"Population","2022","Roscommon County Council","Single","Males","Number","18612"
"Population","2022","Roscommon County Council","Single","Females","Number","16419"
"Population","2022","Roscommon County Council","Single","Both Sexes","Number","35031"
"Population","2022","Roscommon County Council","Married","Males","Number","14053"
"Population","2022","Roscommon County Council","Married","Females","Number","14073"
"Population","2022","Roscommon County Council","Married","Both Sexes","Number","28126"
"Population","2022","Roscommon County Council","Separated","Males","Number","824"
"Population","2022","Roscommon County Council","Separated","Females","Number","954"
"Population","2022","Roscommon County Council","Separated","Both Sexes","Number","1778"
"Population","2022","Roscommon County Council","Divorced","Males","Number","817"
"Population","2022","Roscommon County Council","Divorced","Females","Number","1040"
"Population","2022","Roscommon County Council","Divorced","Both Sexes","Number","1857"
"Population","2022","Roscommon County Council","Widowed","Males","Number","864"
"Population","2022","Roscommon County Council","Widowed","Females","Number","2603"
"Population","2022","Roscommon County Council","Widowed","Both Sexes","Number","3467"
"Population","2022","Roscommon County Council","Total","Males","Number","35170"
"Population","2022","Roscommon County Council","Total","Females","Number","35089"
"Population","2022","Roscommon County Council","Total","Both Sexes","Number","70259"
"Population","2022","Sligo County Council","Single","Males","Number","19004"
"Population","2022","Sligo County Council","Single","Females","Number","17869"
"Population","2022","Sligo County Council","Single","Both Sexes","Number","36873"
"Population","2022","Sligo County Council","Married","Males","Number","13234"
"Population","2022","Sligo County Council","Married","Females","Number","13307"
"Population","2022","Sligo County Council","Married","Both Sexes","Number","26541"
"Population","2022","Sligo County Council","Separated","Males","Number","735"
"Population","2022","Sligo County Council","Separated","Females","Number","972"
"Population","2022","Sligo County Council","Separated","Both Sexes","Number","1707"
"Population","2022","Sligo County Council","Divorced","Males","Number","729"
"Population","2022","Sligo County Council","Divorced","Females","Number","1034"
"Population","2022","Sligo County Council","Divorced","Both Sexes","Number","1763"
"Population","2022","Sligo County Council","Widowed","Males","Number","827"
"Population","2022","Sligo County Council","Widowed","Females","Number","2487"
"Population","2022","Sligo County Council","Widowed","Both Sexes","Number","3314"
"Population","2022","Sligo County Council","Total","Males","Number","34529"
"Population","2022","Sligo County Council","Total","Females","Number","35669"
"Population","2022","Sligo County Council","Total","Both Sexes","Number","70198"
"Population","2022","Cavan County Council","Single","Males","Number","22557"
"Population","2022","Cavan County Council","Single","Females","Number","20007"
"Population","2022","Cavan County Council","Single","Both Sexes","Number","42564"
"Population","2022","Cavan County Council","Married","Males","Number","15889"
"Population","2022","Cavan County Council","Married","Females","Number","15829"
"Population","2022","Cavan County Council","Married","Both Sexes","Number","31718"
"Population","2022","Cavan County Council","Separated","Males","Number","837"
"Population","2022","Cavan County Council","Separated","Females","Number","1037"
"Population","2022","Cavan County Council","Separated","Both Sexes","Number","1874"
"Population","2022","Cavan County Council","Divorced","Males","Number","907"
"Population","2022","Cavan County Council","Divorced","Females","Number","1170"
"Population","2022","Cavan County Council","Divorced","Both Sexes","Number","2077"
"Population","2022","Cavan County Council","Widowed","Males","Number","870"
"Population","2022","Cavan County Council","Widowed","Females","Number","2601"
"Population","2022","Cavan County Council","Widowed","Both Sexes","Number","3471"
"Population","2022","Cavan County Council","Total","Males","Number","41060"
"Population","2022","Cavan County Council","Total","Females","Number","40644"
"Population","2022","Cavan County Council","Total","Both Sexes","Number","81704"
"Population","2022","Donegal County Council","Single","Males","Number","44475"
"Population","2022","Donegal County Council","Single","Females","Number","40742"
"Population","2022","Donegal County Council","Single","Both Sexes","Number","85217"
"Population","2022","Donegal County Council","Married","Males","Number","32756"
"Population","2022","Donegal County Council","Married","Females","Number","33165"
"Population","2022","Donegal County Council","Married","Both Sexes","Number","65921"
"Population","2022","Donegal County Council","Separated","Males","Number","1843"
"Population","2022","Donegal County Council","Separated","Females","Number","2235"
"Population","2022","Donegal County Council","Separated","Both Sexes","Number","4078"
"Population","2022","Donegal County Council","Divorced","Males","Number","1767"
"Population","2022","Donegal County Council","Divorced","Females","Number","2440"
"Population","2022","Donegal County Council","Divorced","Both Sexes","Number","4207"
"Population","2022","Donegal County Council","Widowed","Males","Number","1954"
"Population","2022","Donegal County Council","Widowed","Females","Number","5707"
"Population","2022","Donegal County Council","Widowed","Both Sexes","Number","7661"
"Population","2022","Donegal County Council","Total","Males","Number","82795"
"Population","2022","Donegal County Council","Total","Females","Number","84289"
"Population","2022","Donegal County Council","Total","Both Sexes","Number","167084"
"Population","2022","Monaghan County Council","Single","Males","Number","18123"
"Population","2022","Monaghan County Council","Single","Females","Number","15721"
"Population","2022","Monaghan County Council","Single","Both Sexes","Number","33844"
"Population","2022","Monaghan County Council","Married","Males","Number","12678"
"Population","2022","Monaghan County Council","Married","Females","Number","12706"
"Population","2022","Monaghan County Council","Married","Both Sexes","Number","25384"
"Population","2022","Monaghan County Council","Separated","Males","Number","684"
"Population","2022","Monaghan County Council","Separated","Females","Number","834"
"Population","2022","Monaghan County Council","Separated","Both Sexes","Number","1518"
"Population","2022","Monaghan County Council","Divorced","Males","Number","646"
"Population","2022","Monaghan County Council","Divorced","Females","Number","975"
"Population","2022","Monaghan County Council","Divorced","Both Sexes","Number","1621"
"Population","2022","Monaghan County Council","Widowed","Males","Number","763"
"Population","2022","Monaghan County Council","Widowed","Females","Number","2158"
"Population","2022","Monaghan County Council","Widowed","Both Sexes","Number","2921"
"Population","2022","Monaghan County Council","Total","Males","Number","32894"
"Population","2022","Monaghan County Council","Total","Females","Number","32394"
"Population","2022","Monaghan County Council","Total","Both Sexes","Number","65288"
"Population","2022","Ireland","Single","Males","Number","1425472"
"Population","2022","Ireland","Single","Females","Number","1347862"
"Population","2022","Ireland","Single","Both Sexes","Number","2773334"
"Population","2022","Ireland","Married","Males","Number","956855"
"Population","2022","Ireland","Married","Females","Number","955995"
"Population","2022","Ireland","Married","Both Sexes","Number","1912850"
"Population","2022","Ireland","Separated","Males","Number","52382"
"Population","2022","Ireland","Separated","Females","Number","67070"
"Population","2022","Ireland","Separated","Both Sexes","Number","119452"
"Population","2022","Ireland","Divorced","Males","Number","54923"
"Population","2022","Ireland","Divorced","Females","Number","78497"
"Population","2022","Ireland","Divorced","Both Sexes","Number","133420"
"Population","2022","Ireland","Widowed","Males","Number","54917"
"Population","2022","Ireland","Widowed","Females","Number","155166"
"Population","2022","Ireland","Widowed","Both Sexes","Number","210083"
"Population","2022","Ireland","Total","Males","Number","2544549"
"Population","2022","Ireland","Total","Females","Number","2604590"
"Population","2022","Ireland","Total","Both Sexes","Number","5149139"
