"Statistic Label","Census Year","Administrative Counties 2019","Marital Status","Sex","UNIT","VALUE"
"Population","2022","South Dublin County Council","Widowed","Females","Number","7872"
"Population","2022","South Dublin County Council","Widowed","Both Sexes","Number","10866"
"Population","2022","South Dublin County Council","Total","Males","Number","147246"
"Population","2022","South Dublin County Council","Total","Females","Number","153829"
"Population","2022","South Dublin County Council","Total","Both Sexes","Number","301075"
"Population","2022","Kildare County Council","Single","Males","Number","68098"
"Population","2022","Kildare County Council","Single","Females","Number","64038"
"Population","2022","Kildare County Council","Single","Both Sexes","Number","132136"
"Population","2022","Kildare County Council","Married","Males","Number","48244"
"Population","2022","Kildare County Council","Married","Females","Number","47963"
"Population","2022","Kildare County Council","Married","Both Sexes","Number","96207"
"Population","2022","Kildare County Council","Separated","Males","Number","2274"
"Population","2022","Kildare County Council","Separated","Females","Number","3095"
"Population","2022","Kildare County Council","Separated","Both Sexes","Number","5369"
"Population","2022","Kildare County Council","Divorced","Males","Number","2453"
"Population","2022","Kildare County Council","Divorced","Females","Number","3592"
"Population","2022","Kildare County Council","Divorced","Both Sexes","Number","6045"
"Population","2022","Kildare County Council","Widowed","Males","Number","2195"
"Population","2022","Kildare County Council","Widowed","Females","Number","5822"
"Population","2022","Kildare County Council","Widowed","Both Sexes","Number","8017"
"Population","2022","Kildare County Council","Total","Males","Number","123264"
"Population","2022","Kildare County Council","Total","Females","Number","124510"
"Population","2022","Kildare County Council","Total","Both Sexes","Number","247774"
"Population","2022","Kilkenny County Council","Single","Males","Number","28184"
"Population","2022","Kilkenny County Council","Single","Females","Number","25784"
"Population","2022","Kilkenny County Council","Single","Both Sexes","Number","53968"
"Population","2022","Kilkenny County Council","Married","Males","Number","20306"
"Population","2022","Kilkenny County Council","Married","Females","Number","20448"
"Population","2022","Kilkenny County Council","Married","Both Sexes","Number","40754"
"Population","2022","Kilkenny County Council","Separated","Males","Number","1094"
"Population","2022","Kilkenny County Council","Separated","Females","Number","1372"
"Population","2022","Kilkenny County Council","Separated","Both Sexes","Number","2466"
"Population","2022","Kilkenny County Council","Divorced","Males","Number","1096"
"Population","2022","Kilkenny County Council","Divorced","Females","Number","1464"
"Population","2022","Kilkenny County Council","Divorced","Both Sexes","Number","2560"
"Population","2022","Kilkenny County Council","Widowed","Males","Number","1203"
"Population","2022","Kilkenny County Council","Widowed","Females","Number","3209"
"Population","2022","Kilkenny County Council","Widowed","Both Sexes","Number","4412"
"Population","2022","Kilkenny County Council","Total","Males","Number","51883"
"Population","2022","Kilkenny County Council","Total","Females","Number","52277"
"Population","2022","Kilkenny County Council","Total","Both Sexes","Number","104160"
"Population","2022","Laois County Council","Single","Males","Number","26008"
"Population","2022","Laois County Council","Single","Females","Number","23396"
"Population","2022","Laois County Council","Single","Both Sexes","Number","49404"
"Population","2022","Laois County Council","Married","Males","Number","17237"
"Population","2022","Laois County Council","Married","Females","Number","17101"
"Population","2022","Laois County Council","Married","Both Sexes","Number","34338"
"Population","2022","Laois County Council","Separated","Males","Number","1125"
"Population","2022","Laois County Council","Separated","Females","Number","1324"
"Population","2022","Laois County Council","Separated","Both Sexes","Number","2449"
"Population","2022","Laois County Council","Divorced","Males","Number","1052"
"Population","2022","Laois County Council","Divorced","Females","Number","1305"
"Population","2022","Laois County Council","Divorced","Both Sexes","Number","2357"
"Population","2022","Laois County Council","Widowed","Males","Number","856"
"Population","2022","Laois County Council","Widowed","Females","Number","2473"
"Population","2022","Laois County Council","Widowed","Both Sexes","Number","3329"
"Population","2022","Laois County Council","Total","Males","Number","46278"
"Population","2022","Laois County Council","Total","Females","Number","45599"
"Population","2022","Laois County Council","Total","Both Sexes","Number","91877"
"Population","2022","Longford County Council","Single","Males","Number","12889"
"Population","2022","Longford County Council","Single","Females","Number","11463"
"Population","2022","Longford County Council","Single","Both Sexes","Number","24352"
"Population","2022","Longford County Council","Married","Males","Number","8839"
"Population","2022","Longford County Council","Married","Females","Number","8791"
"Population","2022","Longford County Council","Married","Both Sexes","Number","17630"
"Population","2022","Longford County Council","Separated","Males","Number","598"
"Population","2022","Longford County Council","Separated","Females","Number","714"
"Population","2022","Longford County Council","Separated","Both Sexes","Number","1312"
"Population","2022","Longford County Council","Divorced","Males","Number","594"
"Population","2022","Longford County Council","Divorced","Females","Number","767"
"Population","2022","Longford County Council","Divorced","Both Sexes","Number","1361"
"Population","2022","Longford County Council","Widowed","Males","Number","529"
"Population","2022","Longford County Council","Widowed","Females","Number","1567"
"Population","2022","Longford County Council","Widowed","Both Sexes","Number","2096"
"Population","2022","Longford County Council","Total","Males","Number","23449"
"Population","2022","Longford County Council","Total","Females","Number","23302"
"Population","2022","Longford County Council","Total","Both Sexes","Number","46751"
"Population","2022","Louth County Council","Single","Males","Number","38999"
"Population","2022","Louth County Council","Single","Females","Number","36903"
"Population","2022","Louth County Council","Single","Both Sexes","Number","75902"
"Population","2022","Louth County Council","Married","Males","Number","25183"
"Population","2022","Louth County Council","Married","Females","Number","25210"
"Population","2022","Louth County Council","Married","Both Sexes","Number","50393"
"Population","2022","Louth County Council","Separated","Males","Number","1603"
"Population","2022","Louth County Council","Separated","Females","Number","2217"
"Population","2022","Louth County Council","Separated","Both Sexes","Number","3820"
"Population","2022","Louth County Council","Divorced","Males","Number","1560"
"Population","2022","Louth County Council","Divorced","Females","Number","2345"
"Population","2022","Louth County Council","Divorced","Both Sexes","Number","3905"
"Population","2022","Louth County Council","Widowed","Males","Number","1562"
"Population","2022","Louth County Council","Widowed","Females","Number","4121"
"Population","2022","Louth County Council","Widowed","Both Sexes","Number","5683"
"Population","2022","Louth County Council","Total","Males","Number","68907"
"Population","2022","Louth County Council","Total","Females","Number","70796"
"Population","2022","Louth County Council","Total","Both Sexes","Number","139703"
"Population","2022","Meath County Council","Single","Males","Number","60084"
"Population","2022","Meath County Council","Single","Females","Number","56041"
"Population","2022","Meath County Council","Single","Both Sexes","Number","116125"
"Population","2022","Meath County Council","Married","Males","Number","43556"
"Population","2022","Meath County Council","Married","Females","Number","43275"
"Population","2022","Meath County Council","Married","Both Sexes","Number","86831"
"Population","2022","Meath County Council","Separated","Males","Number","2265"
"Population","2022","Meath County Council","Separated","Females","Number","2996"
"Population","2022","Meath County Council","Separated","Both Sexes","Number","5261"
"Population","2022","Meath County Council","Divorced","Males","Number","2229"
"Population","2022","Meath County Council","Divorced","Females","Number","3184"
"Population","2022","Meath County Council","Divorced","Both Sexes","Number","5413"
"Population","2022","Meath County Council","Widowed","Males","Number","1854"
"Population","2022","Meath County Council","Widowed","Females","Number","5342"
"Population","2022","Meath County Council","Widowed","Both Sexes","Number","7196"
"Population","2022","Meath County Council","Total","Males","Number","109988"
"Population","2022","Meath County Council","Total","Females","Number","110838"
"Population","2022","Meath County Council","Total","Both Sexes","Number","220826"
"Population","2022","Offaly County Council","Single","Males","Number","22789"
"Population","2022","Offaly County Council","Single","Females","Number","20606"
"Population","2022","Offaly County Council","Single","Both Sexes","Number","43395"
"Population","2022","Offaly County Council","Married","Males","Number","16015"
"Population","2022","Offaly County Council","Married","Females","Number","15886"
"Population","2022","Offaly County Council","Married","Both Sexes","Number","31901"
"Population","2022","Offaly County Council","Separated","Males","Number","984"
"Population","2022","Offaly County Council","Separated","Females","Number","1212"
"Population","2022","Offaly County Council","Separated","Both Sexes","Number","2196"
"Population","2022","Offaly County Council","Divorced","Males","Number","861"
"Population","2022","Offaly County Council","Divorced","Females","Number","1190"
"Population","2022","Offaly County Council","Divorced","Both Sexes","Number","2051"
"Population","2022","Offaly County Council","Widowed","Males","Number","979"
"Population","2022","Offaly County Council","Widowed","Females","Number","2628"
"Population","2022","Offaly County Council","Widowed","Both Sexes","Number","3607"
"Population","2022","Offaly County Council","Total","Males","Number","41628"
"Population","2022","Offaly County Council","Total","Females","Number","41522"
"Population","2022","Offaly County Council","Total","Both Sexes","Number","83150"
"Population","2022","Westmeath County Council","Single","Males","Number","26382"
"Population","2022","Westmeath County Council","Single","Females","Number","24546"
"Population","2022","Westmeath County Council","Single","Both Sexes","Number","50928"
"Population","2022","Westmeath County Council","Married","Males","Number","18104"
"Population","2022","Westmeath County Council","Married","Females","Number","18202"
"Population","2022","Westmeath County Council","Married","Both Sexes","Number","36306"
"Population","2022","Westmeath County Council","Separated","Males","Number","1100"
"Population","2022","Westmeath County Council","Separated","Females","Number","1370"
"Population","2022","Westmeath County Council","Separated","Both Sexes","Number","2470"
"Population","2022","Westmeath County Council","Divorced","Males","Number","1082"
"Population","2022","Westmeath County Council","Divorced","Females","Number","1506"
"Population","2022","Westmeath County Council","Divorced","Both Sexes","Number","2588"
"Population","2022","Westmeath County Council","Widowed","Males","Number","1053"
"Population","2022","Westmeath County Council","Widowed","Females","Number","2876"
"Population","2022","Westmeath County Council","Widowed","Both Sexes","Number","3929"
"Population","2022","Westmeath County Council","Total","Males","Number","47721"
"Population","2022","Westmeath County Council","Total","Females","Number","48500"
"Population","2022","Westmeath County Council","Total","Both Sexes","Number","96221"
"Population","2022","Wexford County Council","Single","Males","Number","43880"
"Population","2022","Wexford County Council","Single","Females","Number","41303"
"Population","2022","Wexford County Council","Single","Both Sexes","Number","85183"
"Population","2022","Wexford County Council","Married","Males","Number","30737"
"Population","2022","Wexford County Council","Married","Females","Number","30941"
"Population","2022","Wexford County Council","Married","Both Sexes","Number","61678"
"Population","2022","Wexford County Council","Separated","Males","Number","2084"
"Population","2022","Wexford County Council","Separated","Females","Number","2547"
"Population","2022","Wexford County Council","Separated","Both Sexes","Number","4631"
"Population","2022","Wexford County Council","Divorced","Males","Number","2153"
"Population","2022","Wexford County Council","Divorced","Females","Number","2898"
"Population","2022","Wexford County Council","Divorced","Both Sexes","Number","5051"
"Population","2022","Wexford County Council","Widowed","Males","Number","1923"
"Population","2022","Wexford County Council","Widowed","Females","Number","5453"
"Population","2022","Wexford County Council","Widowed","Both Sexes","Number","7376"
"Population","2022","Wexford County Council","Total","Males","Number","80777"
"Population","2022","Wexford County Council","Total","Females","Number","83142"
"Population","2022","Wexford County Council","Total","Both Sexes","Number","163919"
"Population","2022","Wicklow County Council","Single","Males","Number","41208"
"Population","2022","Wicklow County Council","Single","Females","Number","39351"
"Population","2022","Wicklow County Council","Single","Both Sexes","Number","80559"
"Population","2022","Wicklow County Council","Married","Males","Number","30191"
"Population","2022","Wicklow County Council","Married","Females","Number","30432"
"Population","2022","Wicklow County Council","Married","Both Sexes","Number","60623"
"Population","2022","Wicklow County Council","Separated","Males","Number","1689"
"Population","2022","Wicklow County Council","Separated","Females","Number","2181"
"Population","2022","Wicklow County Council","Separated","Both Sexes","Number","3870"
"Population","2022","Wicklow County Council","Divorced","Males","Number","1857"
"Population","2022","Wicklow County Council","Divorced","Females","Number","2788"
"Population","2022","Wicklow County Council","Divorced","Both Sexes","Number","4645"
"Population","2022","Wicklow County Council","Widowed","Males","Number","1619"
"Population","2022","Wicklow County Council","Widowed","Females","Number","4535"
"Population","2022","Wicklow County Council","Widowed","Both Sexes","Number","6154"
"Population","2022","Wicklow County Council","Total","Males","Number","76564"
"Population","2022","Wicklow County Council","Total","Females","Number","79287"
"Population","2022","Wicklow County Council","Total","Both Sexes","Number","155851"
"Population","2022","Clare County Council","Single","Males","Number","33789"
"Population","2022","Clare County Council","Single","Females","Number","31949"
"Population","2022","Clare County Council","Single","Both Sexes","Number","65738"
"Population","2022","Clare County Council","Married","Males","Number","24778"
"Population","2022","Clare County Council","Married","Females","Number","25038"
"Population","2022","Clare County Council","Married","Both Sexes","Number","49816"
"Population","2022","Clare County Council","Separated","Males","Number","1360"
"Population","2022","Clare County Council","Separated","Females","Number","1687"
"Population","2022","Clare County Council","Separated","Both Sexes","Number","3047"
"Population","2022","Clare County Council","Divorced","Males","Number","1500"
"Population","2022","Clare County Council","Divorced","Females","Number","2073"
"Population","2022","Clare County Council","Divorced","Both Sexes","Number","3573"
"Population","2022","Clare County Council","Widowed","Males","Number","1490"
"Population","2022","Clare County Council","Widowed","Females","Number","4274"
"Population","2022","Clare County Council","Widowed","Both Sexes","Number","5764"
"Population","2022","Clare County Council","Total","Males","Number","62917"
"Population","2022","Clare County Council","Total","Females","Number","65021"
"Population","2022","Clare County Council","Total","Both Sexes","Number","127938"
"Population","2022","Cork City Council","Single","Males","Number","64620"
