"STATISTIC Label","Graduation Year","Field of Study","NFQ Level","Nationality","UNIT","VALUE"
"Number of Graduates","2010","Education","NFQ Level 8","Australia and South Pacific","Number","0"
"Number of Graduates","2010","Education","NFQ Level 8","Central and South America","Number","0"
"Number of Graduates","2010","Education","NFQ Level 8","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2010","Education","NFQ Level 8","North America","Number","0"
"Number of Graduates","2010","Education","NFQ Level 9","All nationalities","Number","820"
"Number of Graduates","2010","Education","NFQ Level 9","UK","Number","0"
"Number of Graduates","2010","Education","NFQ Level 9","Ireland","Number","810"
"Number of Graduates","2010","Education","NFQ Level 9","Unknown","Number","10"
"Number of Graduates","2010","Education","NFQ Level 9","Africa","Number","0"
"Number of Graduates","2010","Education","NFQ Level 9","Central Asia","Number","0"
"Number of Graduates","2010","Education","NFQ Level 9","South Asia","Number","0"
"Number of Graduates","2010","Education","NFQ Level 9","South-East Asia","Number","0"
"Number of Graduates","2010","Education","NFQ Level 9","East Asia","Number","0"
"Number of Graduates","2010","Education","NFQ Level 9","Mid-East","Number","0"
"Number of Graduates","2010","Education","NFQ Level 9","Australia and South Pacific","Number","0"
"Number of Graduates","2010","Education","NFQ Level 9","Central and South America","Number","0"
"Number of Graduates","2010","Education","NFQ Level 9","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2010","Education","NFQ Level 9","North America","Number","0"
"Number of Graduates","2010","Education","NFQ Level 10","All nationalities","Number","10"
"Number of Graduates","2010","Education","NFQ Level 10","UK","Number","0"
"Number of Graduates","2010","Education","NFQ Level 10","Ireland","Number","0"
"Number of Graduates","2010","Education","NFQ Level 10","Unknown","Number","0"
"Number of Graduates","2010","Education","NFQ Level 10","Africa","Number","0"
"Number of Graduates","2010","Education","NFQ Level 10","Central Asia","Number","0"
"Number of Graduates","2010","Education","NFQ Level 10","South Asia","Number","0"
"Number of Graduates","2010","Education","NFQ Level 10","South-East Asia","Number","0"
