"STATISTIC Label","Graduation Year","Field of Study","NFQ Level","Nationality","UNIT","VALUE"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 6","Mid-East","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 6","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 6","Central and South America","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 6","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 6","North America","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 7","All nationalities","Number","260"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 7","UK","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 7","Ireland","Number","180"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 7","Unknown","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 7","Africa","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 7","Central Asia","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 7","South Asia","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 7","South-East Asia","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 7","East Asia","Number","20"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 7","Mid-East","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 7","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 7","Central and South America","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 7","Europe excluding UK and Ireland","Number","50"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 7","North America","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 8","All nationalities","Number","950"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 8","UK","Number","20"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 8","Ireland","Number","580"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 8","Unknown","Number","70"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 8","Africa","Number","10"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 8","Central Asia","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 8","South Asia","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 8","South-East Asia","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 8","East Asia","Number","220"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 8","Mid-East","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 8","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 8","Central and South America","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 8","Europe excluding UK and Ireland","Number","50"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 8","North America","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 9","All nationalities","Number","400"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 9","UK","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 9","Ireland","Number","270"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 9","Unknown","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 9","Africa","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 9","Central Asia","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 9","South Asia","Number","10"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 9","South-East Asia","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 9","East Asia","Number","80"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 9","Mid-East","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 9","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 9","Central and South America","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 9","Europe excluding UK and Ireland","Number","30"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 9","North America","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 10","All nationalities","Number","20"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 10","UK","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 10","Ireland","Number","10"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 10","Unknown","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 10","Africa","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 10","Central Asia","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 10","South Asia","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 10","South-East Asia","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 10","East Asia","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 10","Mid-East","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 10","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 10","Central and South America","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 10","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2011","Information and Communication Technologies","NFQ Level 10","North America","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","All NFQ Levels","All nationalities","Number","4370"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","All NFQ Levels","UK","Number","50"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","All NFQ Levels","Ireland","Number","3930"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","All NFQ Levels","Unknown","Number","20"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","All NFQ Levels","Africa","Number","40"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","All NFQ Levels","Central Asia","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","All NFQ Levels","South Asia","Number","30"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","All NFQ Levels","South-East Asia","Number","10"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","All NFQ Levels","East Asia","Number","120"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","All NFQ Levels","Mid-East","Number","20"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","All NFQ Levels","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","All NFQ Levels","Central and South America","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","All NFQ Levels","Europe excluding UK and Ireland","Number","110"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","All NFQ Levels","North America","Number","20"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 6","All nationalities","Number","140"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 6","UK","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 6","Ireland","Number","130"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 6","Unknown","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 6","Africa","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 6","Central Asia","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 6","South Asia","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 6","South-East Asia","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 6","East Asia","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 6","Mid-East","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 6","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 6","Central and South America","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 6","Europe excluding UK and Ireland","Number","10"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 6","North America","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 7","All nationalities","Number","1160"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 7","UK","Number","10"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 7","Ireland","Number","1060"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 7","Unknown","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 7","Africa","Number","20"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 7","Central Asia","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 7","South Asia","Number","10"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 7","South-East Asia","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 7","East Asia","Number","10"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 7","Mid-East","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 7","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 7","Central and South America","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 7","Europe excluding UK and Ireland","Number","40"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 7","North America","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 8","All nationalities","Number","2480"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 8","UK","Number","30"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 8","Ireland","Number","2300"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 8","Unknown","Number","10"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 8","Africa","Number","20"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 8","Central Asia","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 8","South Asia","Number","10"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 8","South-East Asia","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 8","East Asia","Number","60"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 8","Mid-East","Number","10"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 8","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 8","Central and South America","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 8","Europe excluding UK and Ireland","Number","30"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 8","North America","Number","10"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 9","All nationalities","Number","480"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 9","UK","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 9","Ireland","Number","370"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 9","Unknown","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 9","Africa","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 9","Central Asia","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 9","South Asia","Number","10"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 9","South-East Asia","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 9","East Asia","Number","50"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 9","Mid-East","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 9","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 9","Central and South America","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 9","Europe excluding UK and Ireland","Number","20"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 9","North America","Number","10"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 10","All nationalities","Number","110"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 10","UK","Number","10"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 10","Ireland","Number","70"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 10","Unknown","Number","10"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 10","Africa","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 10","Central Asia","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 10","South Asia","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 10","South-East Asia","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 10","East Asia","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 10","Mid-East","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 10","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 10","Central and South America","Number","0"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 10","Europe excluding UK and Ireland","Number","20"
"Number of Graduates","2011","Engineering, Manufacturing and Construction","NFQ Level 10","North America","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","All NFQ Levels","All nationalities","Number","570"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","All NFQ Levels","UK","Number","10"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","All NFQ Levels","Ireland","Number","540"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","All NFQ Levels","Unknown","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","All NFQ Levels","Africa","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","All NFQ Levels","Central Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","All NFQ Levels","South Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","All NFQ Levels","South-East Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","All NFQ Levels","East Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","All NFQ Levels","Mid-East","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","All NFQ Levels","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","All NFQ Levels","Central and South America","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","All NFQ Levels","Europe excluding UK and Ireland","Number","10"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","All NFQ Levels","North America","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 6","All nationalities","Number","120"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 6","UK","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 6","Ireland","Number","110"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 6","Unknown","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 6","Africa","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 6","Central Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 6","South Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 6","South-East Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 6","East Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 6","Mid-East","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 6","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 6","Central and South America","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 6","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 6","North America","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 7","All nationalities","Number","170"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 7","UK","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 7","Ireland","Number","170"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 7","Unknown","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 7","Africa","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 7","Central Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 7","South Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 7","South-East Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 7","East Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 7","Mid-East","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 7","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 7","Central and South America","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 7","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 7","North America","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 8","All nationalities","Number","260"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 8","UK","Number","10"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 8","Ireland","Number","250"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 8","Unknown","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 8","Africa","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 8","Central Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 8","South Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 8","South-East Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 8","East Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 8","Mid-East","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 8","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 8","Central and South America","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 8","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 8","North America","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 9","All nationalities","Number","20"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 9","UK","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 9","Ireland","Number","10"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 9","Unknown","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 9","Africa","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 9","Central Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 9","South Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 9","South-East Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 9","East Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 9","Mid-East","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 9","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 9","Central and South America","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 9","Europe excluding UK and Ireland","Number","10"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 9","North America","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 10","All nationalities","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 10","UK","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 10","Ireland","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 10","Unknown","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 10","Africa","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 10","Central Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 10","South Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 10","South-East Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 10","East Asia","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 10","Mid-East","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 10","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 10","Central and South America","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 10","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2011","Agriculture, Forestry, Fisheries and Veterinary","NFQ Level 10","North America","Number","0"
"Number of Graduates","2011","Health and Welfare","All NFQ Levels","All nationalities","Number","4350"
"Number of Graduates","2011","Health and Welfare","All NFQ Levels","UK","Number","90"
"Number of Graduates","2011","Health and Welfare","All NFQ Levels","Ireland","Number","3870"
"Number of Graduates","2011","Health and Welfare","All NFQ Levels","Unknown","Number","10"
"Number of Graduates","2011","Health and Welfare","All NFQ Levels","Africa","Number","30"
"Number of Graduates","2011","Health and Welfare","All NFQ Levels","Central Asia","Number","0"
"Number of Graduates","2011","Health and Welfare","All NFQ Levels","South Asia","Number","20"
"Number of Graduates","2011","Health and Welfare","All NFQ Levels","South-East Asia","Number","140"
"Number of Graduates","2011","Health and Welfare","All NFQ Levels","East Asia","Number","10"
"Number of Graduates","2011","Health and Welfare","All NFQ Levels","Mid-East","Number","60"
"Number of Graduates","2011","Health and Welfare","All NFQ Levels","Australia and South Pacific","Number","10"
"Number of Graduates","2011","Health and Welfare","All NFQ Levels","Central and South America","Number","0"
"Number of Graduates","2011","Health and Welfare","All NFQ Levels","Europe excluding UK and Ireland","Number","40"
"Number of Graduates","2011","Health and Welfare","All NFQ Levels","North America","Number","60"
"Number of Graduates","2011","Health and Welfare","NFQ Level 6","All nationalities","Number","100"
"Number of Graduates","2011","Health and Welfare","NFQ Level 6","UK","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 6","Ireland","Number","100"
"Number of Graduates","2011","Health and Welfare","NFQ Level 6","Unknown","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 6","Africa","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 6","Central Asia","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 6","South Asia","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 6","South-East Asia","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 6","East Asia","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 6","Mid-East","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 6","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 6","Central and South America","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 6","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 6","North America","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 7","All nationalities","Number","430"
"Number of Graduates","2011","Health and Welfare","NFQ Level 7","UK","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 7","Ireland","Number","420"
"Number of Graduates","2011","Health and Welfare","NFQ Level 7","Unknown","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 7","Africa","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 7","Central Asia","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 7","South Asia","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 7","South-East Asia","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 7","East Asia","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 7","Mid-East","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 7","Australia and South Pacific","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 7","Central and South America","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 7","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 7","North America","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 8","All nationalities","Number","3230"
"Number of Graduates","2011","Health and Welfare","NFQ Level 8","UK","Number","80"
"Number of Graduates","2011","Health and Welfare","NFQ Level 8","Ireland","Number","2830"
"Number of Graduates","2011","Health and Welfare","NFQ Level 8","Unknown","Number","10"
"Number of Graduates","2011","Health and Welfare","NFQ Level 8","Africa","Number","20"
"Number of Graduates","2011","Health and Welfare","NFQ Level 8","Central Asia","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 8","South Asia","Number","10"
"Number of Graduates","2011","Health and Welfare","NFQ Level 8","South-East Asia","Number","140"
"Number of Graduates","2011","Health and Welfare","NFQ Level 8","East Asia","Number","10"
"Number of Graduates","2011","Health and Welfare","NFQ Level 8","Mid-East","Number","60"
"Number of Graduates","2011","Health and Welfare","NFQ Level 8","Australia and South Pacific","Number","10"
"Number of Graduates","2011","Health and Welfare","NFQ Level 8","Central and South America","Number","0"
"Number of Graduates","2011","Health and Welfare","NFQ Level 8","Europe excluding UK and Ireland","Number","30"
"Number of Graduates","2011","Health and Welfare","NFQ Level 8","North America","Number","40"
"Number of Graduates","2011","Health and Welfare","NFQ Level 9","All nationalities","Number","540"
"Number of Graduates","2011","Health and Welfare","NFQ Level 9","UK","Number","0"
