"Statistics","Census Year","Administrative Counties","Number of Children","Age of Child","UNIT","VALUE"
"Family units with children, by size and age of children","2022","Dublin City Council","Families with 2 children","Children both under and over 15","Number","4180"
"Family units with children, by size and age of children","2022","Dublin City Council","Families with 2 children","Total","Number","27381"
"Family units with children, by size and age of children","2022","Dublin City Council","Families with 3 children","All children 15 and over","Number","2924"
"Family units with children, by size and age of children","2022","Dublin City Council","Families with 3 children","All children under 15","Number","4398"
"Family units with children, by size and age of children","2022","Dublin City Council","Families with 3 children","Children both under and over 15","Number","3764"
"Family units with children, by size and age of children","2022","Dublin City Council","Families with 3 children","Total","Number","11086"
"Family units with children, by size and age of children","2022","Dublin City Council","Families with 4 children","All children 15 and over","Number","573"
"Family units with children, by size and age of children","2022","Dublin City Council","Families with 4 children","All children under 15","Number","827"
"Family units with children, by size and age of children","2022","Dublin City Council","Families with 4 children","Children both under and over 15","Number","1476"
"Family units with children, by size and age of children","2022","Dublin City Council","Families with 4 children","Total","Number","2876"
"Family units with children, by size and age of children","2022","Dublin City Council","Families with 5 or more children","All children 15 and over","Number","109"
"Family units with children, by size and age of children","2022","Dublin City Council","Families with 5 or more children","All children under 15","Number","181"
"Family units with children, by size and age of children","2022","Dublin City Council","Families with 5 or more children","Children both under and over 15","Number","643"
"Family units with children, by size and age of children","2022","Dublin City Council","Families with 5 or more children","Total","Number","933"
"Family units with children, by size and age of children","2022","Dublin City Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Dublin City Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Dublin City Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Dublin City Council","Families without children","Total","Number","48235"
"Family units with children, by size and age of children","2022","Dublin City Council","Total families","All children 15 and over","Number","34046"
"Family units with children, by size and age of children","2022","Dublin City Council","Total families","All children under 15","Number","33870"
"Family units with children, by size and age of children","2022","Dublin City Council","Total families","Children both under and over 15","Number","10063"
"Family units with children, by size and age of children","2022","Dublin City Council","Total families","Total","Number","126214"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families with 1 child","All children 15 and over","Number","9139"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families with 1 child","All children under 15","Number","6425"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families with 1 child","Total","Number","15564"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families with 2 children","All children 15 and over","Number","5120"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families with 2 children","All children under 15","Number","7991"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families with 2 children","Children both under and over 15","Number","1833"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families with 2 children","Total","Number","14944"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families with 3 children","All children 15 and over","Number","1756"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families with 3 children","All children under 15","Number","3059"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families with 3 children","Children both under and over 15","Number","2084"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families with 3 children","Total","Number","6899"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families with 4 children","All children 15 and over","Number","343"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families with 4 children","All children under 15","Number","416"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families with 4 children","Children both under and over 15","Number","712"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families with 4 children","Total","Number","1471"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families with 5 or more children","All children 15 and over","Number","43"
