"Statistics","Census Year","Administrative Counties","Number of Children","Age of Child","UNIT","VALUE"
"Family units with children, by size and age of children","2022","Louth County Council","Families with 4 children","All children 15 and over","Number","222"
"Family units with children, by size and age of children","2022","Louth County Council","Families with 4 children","All children under 15","Number","414"
"Family units with children, by size and age of children","2022","Louth County Council","Families with 4 children","Children both under and over 15","Number","717"
"Family units with children, by size and age of children","2022","Louth County Council","Families with 4 children","Total","Number","1353"
"Family units with children, by size and age of children","2022","Louth County Council","Families with 5 or more children","All children 15 and over","Number","38"
"Family units with children, by size and age of children","2022","Louth County Council","Families with 5 or more children","All children under 15","Number","84"
"Family units with children, by size and age of children","2022","Louth County Council","Families with 5 or more children","Children both under and over 15","Number","302"
"Family units with children, by size and age of children","2022","Louth County Council","Families with 5 or more children","Total","Number","424"
"Family units with children, by size and age of children","2022","Louth County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Louth County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Louth County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Louth County Council","Families without children","Total","Number","9664"
"Family units with children, by size and age of children","2022","Louth County Council","Total families","All children 15 and over","Number","10696"
"Family units with children, by size and age of children","2022","Louth County Council","Total families","All children under 15","Number","10590"
"Family units with children, by size and age of children","2022","Louth County Council","Total families","Children both under and over 15","Number","4439"
"Family units with children, by size and age of children","2022","Louth County Council","Total families","Total","Number","35389"
"Family units with children, by size and age of children","2022","Meath County Council","Families with 1 child","All children 15 and over","Number","8502"
"Family units with children, by size and age of children","2022","Meath County Council","Families with 1 child","All children under 15","Number","6561"
"Family units with children, by size and age of children","2022","Meath County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Meath County Council","Families with 1 child","Total","Number","15063"
"Family units with children, by size and age of children","2022","Meath County Council","Families with 2 children","All children 15 and over","Number","5204"
"Family units with children, by size and age of children","2022","Meath County Council","Families with 2 children","All children under 15","Number","8365"
"Family units with children, by size and age of children","2022","Meath County Council","Families with 2 children","Children both under and over 15","Number","2700"
"Family units with children, by size and age of children","2022","Meath County Council","Families with 2 children","Total","Number","16269"
"Family units with children, by size and age of children","2022","Meath County Council","Families with 3 children","All children 15 and over","Number","1817"
"Family units with children, by size and age of children","2022","Meath County Council","Families with 3 children","All children under 15","Number","3427"
"Family units with children, by size and age of children","2022","Meath County Council","Families with 3 children","Children both under and over 15","Number","3070"
"Family units with children, by size and age of children","2022","Meath County Council","Families with 3 children","Total","Number","8314"
"Family units with children, by size and age of children","2022","Meath County Council","Families with 4 children","All children 15 and over","Number","338"
"Family units with children, by size and age of children","2022","Meath County Council","Families with 4 children","All children under 15","Number","670"
"Family units with children, by size and age of children","2022","Meath County Council","Families with 4 children","Children both under and over 15","Number","1189"
"Family units with children, by size and age of children","2022","Meath County Council","Families with 4 children","Total","Number","2197"
"Family units with children, by size and age of children","2022","Meath County Council","Families with 5 or more children","All children 15 and over","Number","63"
"Family units with children, by size and age of children","2022","Meath County Council","Families with 5 or more children","All children under 15","Number","142"
"Family units with children, by size and age of children","2022","Meath County Council","Families with 5 or more children","Children both under and over 15","Number","387"
"Family units with children, by size and age of children","2022","Meath County Council","Families with 5 or more children","Total","Number","592"
"Family units with children, by size and age of children","2022","Meath County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Meath County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Meath County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Meath County Council","Families without children","Total","Number","15321"
"Family units with children, by size and age of children","2022","Meath County Council","Total families","All children 15 and over","Number","15924"
"Family units with children, by size and age of children","2022","Meath County Council","Total families","All children under 15","Number","19165"
"Family units with children, by size and age of children","2022","Meath County Council","Total families","Children both under and over 15","Number","7346"
"Family units with children, by size and age of children","2022","Meath County Council","Total families","Total","Number","57756"
"Family units with children, by size and age of children","2022","Offaly County Council","Families with 1 child","All children 15 and over","Number","3653"
"Family units with children, by size and age of children","2022","Offaly County Council","Families with 1 child","All children under 15","Number","2172"
"Family units with children, by size and age of children","2022","Offaly County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Offaly County Council","Families with 1 child","Total","Number","5825"
"Family units with children, by size and age of children","2022","Offaly County Council","Families with 2 children","All children 15 and over","Number","1983"
"Family units with children, by size and age of children","2022","Offaly County Council","Families with 2 children","All children under 15","Number","2512"
"Family units with children, by size and age of children","2022","Offaly County Council","Families with 2 children","Children both under and over 15","Number","934"
"Family units with children, by size and age of children","2022","Offaly County Council","Families with 2 children","Total","Number","5429"
"Family units with children, by size and age of children","2022","Offaly County Council","Families with 3 children","All children 15 and over","Number","658"
"Family units with children, by size and age of children","2022","Offaly County Council","Families with 3 children","All children under 15","Number","1168"
"Family units with children, by size and age of children","2022","Offaly County Council","Families with 3 children","Children both under and over 15","Number","954"
"Family units with children, by size and age of children","2022","Offaly County Council","Families with 3 children","Total","Number","2780"
"Family units with children, by size and age of children","2022","Offaly County Council","Families with 4 children","All children 15 and over","Number","144"
"Family units with children, by size and age of children","2022","Offaly County Council","Families with 4 children","All children under 15","Number","305"
"Family units with children, by size and age of children","2022","Offaly County Council","Families with 4 children","Children both under and over 15","Number","436"
"Family units with children, by size and age of children","2022","Offaly County Council","Families with 4 children","Total","Number","885"
"Family units with children, by size and age of children","2022","Offaly County Council","Families with 5 or more children","All children 15 and over","Number","26"
"Family units with children, by size and age of children","2022","Offaly County Council","Families with 5 or more children","All children under 15","Number","75"
"Family units with children, by size and age of children","2022","Offaly County Council","Families with 5 or more children","Children both under and over 15","Number","171"
"Family units with children, by size and age of children","2022","Offaly County Council","Families with 5 or more children","Total","Number","272"
"Family units with children, by size and age of children","2022","Offaly County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Offaly County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Offaly County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Offaly County Council","Families without children","Total","Number","6166"
"Family units with children, by size and age of children","2022","Offaly County Council","Total families","All children 15 and over","Number","6464"
"Family units with children, by size and age of children","2022","Offaly County Council","Total families","All children under 15","Number","6232"
"Family units with children, by size and age of children","2022","Offaly County Council","Total families","Children both under and over 15","Number","2495"
"Family units with children, by size and age of children","2022","Offaly County Council","Total families","Total","Number","21357"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families with 1 child","All children 15 and over","Number","3993"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families with 1 child","All children under 15","Number","2619"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families with 1 child","Total","Number","6612"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families with 2 children","All children 15 and over","Number","2022"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families with 2 children","All children under 15","Number","3109"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families with 2 children","Children both under and over 15","Number","1009"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families with 2 children","Total","Number","6140"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families with 3 children","All children 15 and over","Number","712"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families with 3 children","All children under 15","Number","1287"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families with 3 children","Children both under and over 15","Number","1007"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families with 3 children","Total","Number","3006"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families with 4 children","All children 15 and over","Number","170"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families with 4 children","All children under 15","Number","330"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families with 4 children","Children both under and over 15","Number","470"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families with 4 children","Total","Number","970"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families with 5 or more children","All children 15 and over","Number","27"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families with 5 or more children","All children under 15","Number","57"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families with 5 or more children","Children both under and over 15","Number","206"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families with 5 or more children","Total","Number","290"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Westmeath County Council","Families without children","Total","Number","7186"
"Family units with children, by size and age of children","2022","Westmeath County Council","Total families","All children 15 and over","Number","6924"
"Family units with children, by size and age of children","2022","Westmeath County Council","Total families","All children under 15","Number","7402"
"Family units with children, by size and age of children","2022","Westmeath County Council","Total families","Children both under and over 15","Number","2692"
"Family units with children, by size and age of children","2022","Westmeath County Council","Total families","Total","Number","24204"
"Family units with children, by size and age of children","2022","Wexford County Council","Families with 1 child","All children 15 and over","Number","7439"
"Family units with children, by size and age of children","2022","Wexford County Council","Families with 1 child","All children under 15","Number","4441"
"Family units with children, by size and age of children","2022","Wexford County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Wexford County Council","Families with 1 child","Total","Number","11880"
"Family units with children, by size and age of children","2022","Wexford County Council","Families with 2 children","All children 15 and over","Number","3738"
"Family units with children, by size and age of children","2022","Wexford County Council","Families with 2 children","All children under 15","Number","4977"
"Family units with children, by size and age of children","2022","Wexford County Council","Families with 2 children","Children both under and over 15","Number","1941"
"Family units with children, by size and age of children","2022","Wexford County Council","Families with 2 children","Total","Number","10656"
"Family units with children, by size and age of children","2022","Wexford County Council","Families with 3 children","All children 15 and over","Number","1145"
"Family units with children, by size and age of children","2022","Wexford County Council","Families with 3 children","All children under 15","Number","2076"
"Family units with children, by size and age of children","2022","Wexford County Council","Families with 3 children","Children both under and over 15","Number","1912"
"Family units with children, by size and age of children","2022","Wexford County Council","Families with 3 children","Total","Number","5133"
"Family units with children, by size and age of children","2022","Wexford County Council","Families with 4 children","All children 15 and over","Number","229"
"Family units with children, by size and age of children","2022","Wexford County Council","Families with 4 children","All children under 15","Number","490"
"Family units with children, by size and age of children","2022","Wexford County Council","Families with 4 children","Children both under and over 15","Number","741"
"Family units with children, by size and age of children","2022","Wexford County Council","Families with 4 children","Total","Number","1460"
"Family units with children, by size and age of children","2022","Wexford County Council","Families with 5 or more children","All children 15 and over","Number","49"
"Family units with children, by size and age of children","2022","Wexford County Council","Families with 5 or more children","All children under 15","Number","89"
"Family units with children, by size and age of children","2022","Wexford County Council","Families with 5 or more children","Children both under and over 15","Number","290"
"Family units with children, by size and age of children","2022","Wexford County Council","Families with 5 or more children","Total","Number","428"
"Family units with children, by size and age of children","2022","Wexford County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Wexford County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Wexford County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Wexford County Council","Families without children","Total","Number","13505"
"Family units with children, by size and age of children","2022","Wexford County Council","Total families","All children 15 and over","Number","12600"
"Family units with children, by size and age of children","2022","Wexford County Council","Total families","All children under 15","Number","12073"
"Family units with children, by size and age of children","2022","Wexford County Council","Total families","Children both under and over 15","Number","4884"
"Family units with children, by size and age of children","2022","Wexford County Council","Total families","Total","Number","43062"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families with 1 child","All children 15 and over","Number","6933"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families with 1 child","All children under 15","Number","4461"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families with 1 child","Total","Number","11394"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families with 2 children","All children 15 and over","Number","3735"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families with 2 children","All children under 15","Number","5560"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families with 2 children","Children both under and over 15","Number","1878"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families with 2 children","Total","Number","11173"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families with 3 children","All children 15 and over","Number","1136"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families with 3 children","All children under 15","Number","2155"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families with 3 children","Children both under and over 15","Number","1749"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families with 3 children","Total","Number","5040"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families with 4 children","All children 15 and over","Number","237"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families with 4 children","All children under 15","Number","397"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families with 4 children","Children both under and over 15","Number","713"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families with 4 children","Total","Number","1347"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families with 5 or more children","All children 15 and over","Number","45"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families with 5 or more children","All children under 15","Number","70"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families with 5 or more children","Children both under and over 15","Number","213"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families with 5 or more children","Total","Number","328"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Wicklow County Council","Families without children","Total","Number","11995"
"Family units with children, by size and age of children","2022","Wicklow County Council","Total families","All children 15 and over","Number","12086"
"Family units with children, by size and age of children","2022","Wicklow County Council","Total families","All children under 15","Number","12643"
"Family units with children, by size and age of children","2022","Wicklow County Council","Total families","Children both under and over 15","Number","4553"
"Family units with children, by size and age of children","2022","Wicklow County Council","Total families","Total","Number","41277"
"Family units with children, by size and age of children","2022","Clare County Council","Families with 1 child","All children 15 and over","Number","5510"
"Family units with children, by size and age of children","2022","Clare County Council","Families with 1 child","All children under 15","Number","3014"
"Family units with children, by size and age of children","2022","Clare County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Clare County Council","Families with 1 child","Total","Number","8524"
"Family units with children, by size and age of children","2022","Clare County Council","Families with 2 children","All children 15 and over","Number","2825"
"Family units with children, by size and age of children","2022","Clare County Council","Families with 2 children","All children under 15","Number","3816"
"Family units with children, by size and age of children","2022","Clare County Council","Families with 2 children","Children both under and over 15","Number","1265"
"Family units with children, by size and age of children","2022","Clare County Council","Families with 2 children","Total","Number","7906"
"Family units with children, by size and age of children","2022","Clare County Council","Families with 3 children","All children 15 and over","Number","912"
"Family units with children, by size and age of children","2022","Clare County Council","Families with 3 children","All children under 15","Number","1705"
"Family units with children, by size and age of children","2022","Clare County Council","Families with 3 children","Children both under and over 15","Number","1438"
"Family units with children, by size and age of children","2022","Clare County Council","Families with 3 children","Total","Number","4055"
"Family units with children, by size and age of children","2022","Clare County Council","Families with 4 children","All children 15 and over","Number","164"
"Family units with children, by size and age of children","2022","Clare County Council","Families with 4 children","All children under 15","Number","385"
"Family units with children, by size and age of children","2022","Clare County Council","Families with 4 children","Children both under and over 15","Number","621"
"Family units with children, by size and age of children","2022","Clare County Council","Families with 4 children","Total","Number","1170"
"Family units with children, by size and age of children","2022","Clare County Council","Families with 5 or more children","All children 15 and over","Number","33"
"Family units with children, by size and age of children","2022","Clare County Council","Families with 5 or more children","All children under 15","Number","110"
"Family units with children, by size and age of children","2022","Clare County Council","Families with 5 or more children","Children both under and over 15","Number","207"
"Family units with children, by size and age of children","2022","Clare County Council","Families with 5 or more children","Total","Number","350"
"Family units with children, by size and age of children","2022","Clare County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Clare County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Clare County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Clare County Council","Families without children","Total","Number","10190"
"Family units with children, by size and age of children","2022","Clare County Council","Total families","All children 15 and over","Number","9444"
"Family units with children, by size and age of children","2022","Clare County Council","Total families","All children under 15","Number","9030"
"Family units with children, by size and age of children","2022","Clare County Council","Total families","Children both under and over 15","Number","3531"
"Family units with children, by size and age of children","2022","Clare County Council","Total families","Total","Number","32195"
"Family units with children, by size and age of children","2022","Cork City Council","Families with 1 child","All children 15 and over","Number","9216"
"Family units with children, by size and age of children","2022","Cork City Council","Families with 1 child","All children under 15","Number","5749"
"Family units with children, by size and age of children","2022","Cork City Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Cork City Council","Families with 1 child","Total","Number","14965"
"Family units with children, by size and age of children","2022","Cork City Council","Families with 2 children","All children 15 and over","Number","4895"
"Family units with children, by size and age of children","2022","Cork City Council","Families with 2 children","All children under 15","Number","6131"
"Family units with children, by size and age of children","2022","Cork City Council","Families with 2 children","Children both under and over 15","Number","1899"
"Family units with children, by size and age of children","2022","Cork City Council","Families with 2 children","Total","Number","12925"
"Family units with children, by size and age of children","2022","Cork City Council","Families with 3 children","All children 15 and over","Number","1409"
"Family units with children, by size and age of children","2022","Cork City Council","Families with 3 children","All children under 15","Number","2274"
"Family units with children, by size and age of children","2022","Cork City Council","Families with 3 children","Children both under and over 15","Number","1945"
"Family units with children, by size and age of children","2022","Cork City Council","Families with 3 children","Total","Number","5628"
"Family units with children, by size and age of children","2022","Cork City Council","Families with 4 children","All children 15 and over","Number","258"
"Family units with children, by size and age of children","2022","Cork City Council","Families with 4 children","All children under 15","Number","418"
"Family units with children, by size and age of children","2022","Cork City Council","Families with 4 children","Children both under and over 15","Number","722"
"Family units with children, by size and age of children","2022","Cork City Council","Families with 4 children","Total","Number","1398"
"Family units with children, by size and age of children","2022","Cork City Council","Families with 5 or more children","All children 15 and over","Number","37"
"Family units with children, by size and age of children","2022","Cork City Council","Families with 5 or more children","All children under 15","Number","69"
"Family units with children, by size and age of children","2022","Cork City Council","Families with 5 or more children","Children both under and over 15","Number","276"
"Family units with children, by size and age of children","2022","Cork City Council","Families with 5 or more children","Total","Number","382"
"Family units with children, by size and age of children","2022","Cork City Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Cork City Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Cork City Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Cork City Council","Families without children","Total","Number","17696"
"Family units with children, by size and age of children","2022","Cork City Council","Total families","All children 15 and over","Number","15815"
"Family units with children, by size and age of children","2022","Cork City Council","Total families","All children under 15","Number","14641"
"Family units with children, by size and age of children","2022","Cork City Council","Total families","Children both under and over 15","Number","4842"
"Family units with children, by size and age of children","2022","Cork City Council","Total families","Total","Number","52994"
"Family units with children, by size and age of children","2022","Cork County Council","Families with 1 child","All children 15 and over","Number","14612"
"Family units with children, by size and age of children","2022","Cork County Council","Families with 1 child","All children under 15","Number","9345"
"Family units with children, by size and age of children","2022","Cork County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Cork County Council","Families with 1 child","Total","Number","23957"
"Family units with children, by size and age of children","2022","Cork County Council","Families with 2 children","All children 15 and over","Number","8298"
"Family units with children, by size and age of children","2022","Cork County Council","Families with 2 children","All children under 15","Number","12585"
"Family units with children, by size and age of children","2022","Cork County Council","Families with 2 children","Children both under and over 15","Number","3860"
"Family units with children, by size and age of children","2022","Cork County Council","Families with 2 children","Total","Number","24743"
"Family units with children, by size and age of children","2022","Cork County Council","Families with 3 children","All children 15 and over","Number","2939"
"Family units with children, by size and age of children","2022","Cork County Council","Families with 3 children","All children under 15","Number","5720"
"Family units with children, by size and age of children","2022","Cork County Council","Families with 3 children","Children both under and over 15","Number","4151"
"Family units with children, by size and age of children","2022","Cork County Council","Families with 3 children","Total","Number","12810"
"Family units with children, by size and age of children","2022","Cork County Council","Families with 4 children","All children 15 and over","Number","546"
"Family units with children, by size and age of children","2022","Cork County Council","Families with 4 children","All children under 15","Number","1215"
"Family units with children, by size and age of children","2022","Cork County Council","Families with 4 children","Children both under and over 15","Number","1770"
"Family units with children, by size and age of children","2022","Cork County Council","Families with 4 children","Total","Number","3531"
"Family units with children, by size and age of children","2022","Cork County Council","Families with 5 or more children","All children 15 and over","Number","100"
"Family units with children, by size and age of children","2022","Cork County Council","Families with 5 or more children","All children under 15","Number","207"
"Family units with children, by size and age of children","2022","Cork County Council","Families with 5 or more children","Children both under and over 15","Number","602"
"Family units with children, by size and age of children","2022","Cork County Council","Families with 5 or more children","Total","Number","909"
"Family units with children, by size and age of children","2022","Cork County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Cork County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Cork County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Cork County Council","Families without children","Total","Number","27291"
"Family units with children, by size and age of children","2022","Cork County Council","Total families","All children 15 and over","Number","26495"
"Family units with children, by size and age of children","2022","Cork County Council","Total families","All children under 15","Number","29072"
"Family units with children, by size and age of children","2022","Cork County Council","Total families","Children both under and over 15","Number","10383"
"Family units with children, by size and age of children","2022","Cork County Council","Total families","Total","Number","93241"
"Family units with children, by size and age of children","2022","Kerry County Council","Families with 1 child","All children 15 and over","Number","7065"
"Family units with children, by size and age of children","2022","Kerry County Council","Families with 1 child","All children under 15","Number","3772"
"Family units with children, by size and age of children","2022","Kerry County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Kerry County Council","Families with 1 child","Total","Number","10837"
"Family units with children, by size and age of children","2022","Kerry County Council","Families with 2 children","All children 15 and over","Number","3315"
"Family units with children, by size and age of children","2022","Kerry County Council","Families with 2 children","All children under 15","Number","4488"
"Family units with children, by size and age of children","2022","Kerry County Council","Families with 2 children","Children both under and over 15","Number","1482"
"Family units with children, by size and age of children","2022","Kerry County Council","Families with 2 children","Total","Number","9285"
"Family units with children, by size and age of children","2022","Kerry County Council","Families with 3 children","All children 15 and over","Number","1020"
"Family units with children, by size and age of children","2022","Kerry County Council","Families with 3 children","All children under 15","Number","1909"
"Family units with children, by size and age of children","2022","Kerry County Council","Families with 3 children","Children both under and over 15","Number","1606"
"Family units with children, by size and age of children","2022","Kerry County Council","Families with 3 children","Total","Number","4535"
"Family units with children, by size and age of children","2022","Kerry County Council","Families with 4 children","All children 15 and over","Number","227"
"Family units with children, by size and age of children","2022","Kerry County Council","Families with 4 children","All children under 15","Number","422"
"Family units with children, by size and age of children","2022","Kerry County Council","Families with 4 children","Children both under and over 15","Number","696"
"Family units with children, by size and age of children","2022","Kerry County Council","Families with 4 children","Total","Number","1345"
"Family units with children, by size and age of children","2022","Kerry County Council","Families with 5 or more children","All children 15 and over","Number","36"
"Family units with children, by size and age of children","2022","Kerry County Council","Families with 5 or more children","All children under 15","Number","84"
"Family units with children, by size and age of children","2022","Kerry County Council","Families with 5 or more children","Children both under and over 15","Number","236"
"Family units with children, by size and age of children","2022","Kerry County Council","Families with 5 or more children","Total","Number","356"
"Family units with children, by size and age of children","2022","Kerry County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Kerry County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Kerry County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Kerry County Council","Families without children","Total","Number","12760"
"Family units with children, by size and age of children","2022","Kerry County Council","Total families","All children 15 and over","Number","11663"
"Family units with children, by size and age of children","2022","Kerry County Council","Total families","All children under 15","Number","10675"
"Family units with children, by size and age of children","2022","Kerry County Council","Total families","Children both under and over 15","Number","4020"
"Family units with children, by size and age of children","2022","Kerry County Council","Total families","Total","Number","39118"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families with 1 child","All children 15 and over","Number","8706"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families with 1 child","All children under 15","Number","5110"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families with 1 child","Total","Number","13816"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families with 2 children","All children 15 and over","Number","4284"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families with 2 children","All children under 15","Number","6037"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families with 2 children","Children both under and over 15","Number","1985"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families with 2 children","Total","Number","12306"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families with 3 children","All children 15 and over","Number","1317"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families with 3 children","All children under 15","Number","2588"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families with 3 children","Children both under and over 15","Number","2074"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families with 3 children","Total","Number","5979"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families with 4 children","All children 15 and over","Number","250"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families with 4 children","All children under 15","Number","604"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families with 4 children","Children both under and over 15","Number","851"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families with 4 children","Total","Number","1705"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families with 5 or more children","All children 15 and over","Number","57"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families with 5 or more children","All children under 15","Number","113"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families with 5 or more children","Children both under and over 15","Number","372"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families with 5 or more children","Total","Number","542"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Families without children","Total","Number","15795"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Total families","All children 15 and over","Number","14614"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Total families","All children under 15","Number","14452"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Total families","Children both under and over 15","Number","5282"
"Family units with children, by size and age of children","2022","Limerick City & County Council","Total families","Total","Number","50143"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families with 1 child","All children 15 and over","Number","7869"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families with 1 child","All children under 15","Number","4278"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families with 1 child","Total","Number","12147"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families with 2 children","All children 15 and over","Number","3732"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families with 2 children","All children under 15","Number","5035"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families with 2 children","Children both under and over 15","Number","1831"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families with 2 children","Total","Number","10598"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families with 3 children","All children 15 and over","Number","1176"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families with 3 children","All children under 15","Number","2384"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families with 3 children","Children both under and over 15","Number","1907"
