"Statistic Label","CensusYear","Detailed Marital Status","County and City","Sex","Age Group","UNIT","VALUE"
"Population","2011","All marital status","Carlow","Female","45 - 49 years","Number","1788"
"Population","2011","All marital status","Carlow","Female","50 - 54 years","Number","1646"
"Population","2011","All marital status","Carlow","Female","55 - 59 years","Number","1416"
"Population","2011","All marital status","Carlow","Female","60 - 64 years","Number","1270"
"Population","2011","All marital status","Carlow","Female","65 - 69 years","Number","1040"
"Population","2011","All marital status","Carlow","Female","70 - 74 years","Number","765"
"Population","2011","All marital status","Carlow","Female","75 - 79 years","Number","611"
"Population","2011","All marital status","Carlow","Female","80 - 84 years","Number","460"
"Population","2011","All marital status","Carlow","Female","85 years and over","Number","424"
"Population","2011","All marital status","Dublin City","Both sexes","All ages","Number","527612"
"Population","2011","All marital status","Dublin City","Both sexes","Under 25 years","Number","156649"
"Population","2011","All marital status","Dublin City","Both sexes","25 - 29 years","Number","62411"
"Population","2011","All marital status","Dublin City","Both sexes","30 - 34 years","Number","56889"
"Population","2011","All marital status","Dublin City","Both sexes","35 - 39 years","Number","41783"
"Population","2011","All marital status","Dublin City","Both sexes","40 - 44 years","Number","35007"
"Population","2011","All marital status","Dublin City","Both sexes","45 - 49 years","Number","32287"
"Population","2011","All marital status","Dublin City","Both sexes","50 - 54 years","Number","28915"
"Population","2011","All marital status","Dublin City","Both sexes","55 - 59 years","Number","24666"
"Population","2011","All marital status","Dublin City","Both sexes","60 - 64 years","Number","22515"
"Population","2011","All marital status","Dublin City","Both sexes","65 - 69 years","Number","18459"
"Population","2011","All marital status","Dublin City","Both sexes","70 - 74 years","Number","16433"
"Population","2011","All marital status","Dublin City","Both sexes","75 - 79 years","Number","13793"
"Population","2011","All marital status","Dublin City","Both sexes","80 - 84 years","Number","9912"
"Population","2011","All marital status","Dublin City","Both sexes","85 years and over","Number","7893"
"Population","2011","All marital status","Dublin City","Male","All ages","Number","257303"
"Population","2011","All marital status","Dublin City","Male","Under 25 years","Number","77994"
"Population","2011","All marital status","Dublin City","Male","25 - 29 years","Number","30573"
"Population","2011","All marital status","Dublin City","Male","30 - 34 years","Number","28727"
"Population","2011","All marital status","Dublin City","Male","35 - 39 years","Number","21460"
"Population","2011","All marital status","Dublin City","Male","40 - 44 years","Number","17663"
"Population","2011","All marital status","Dublin City","Male","45 - 49 years","Number","15886"
"Population","2011","All marital status","Dublin City","Male","50 - 54 years","Number","14206"
"Population","2011","All marital status","Dublin City","Male","55 - 59 years","Number","12108"
"Population","2011","All marital status","Dublin City","Male","60 - 64 years","Number","11060"
"Population","2011","All marital status","Dublin City","Male","65 - 69 years","Number","8687"
"Population","2011","All marital status","Dublin City","Male","70 - 74 years","Number","7305"
"Population","2011","All marital status","Dublin City","Male","75 - 79 years","Number","5677"
"Population","2011","All marital status","Dublin City","Male","80 - 84 years","Number","3624"
"Population","2011","All marital status","Dublin City","Male","85 years and over","Number","2333"
"Population","2011","All marital status","Dublin City","Female","All ages","Number","270309"
"Population","2011","All marital status","Dublin City","Female","Under 25 years","Number","78655"
"Population","2011","All marital status","Dublin City","Female","25 - 29 years","Number","31838"
"Population","2011","All marital status","Dublin City","Female","30 - 34 years","Number","28162"
"Population","2011","All marital status","Dublin City","Female","35 - 39 years","Number","20323"
"Population","2011","All marital status","Dublin City","Female","40 - 44 years","Number","17344"
"Population","2011","All marital status","Dublin City","Female","45 - 49 years","Number","16401"
"Population","2011","All marital status","Dublin City","Female","50 - 54 years","Number","14709"
"Population","2011","All marital status","Dublin City","Female","55 - 59 years","Number","12558"
"Population","2011","All marital status","Dublin City","Female","60 - 64 years","Number","11455"
"Population","2011","All marital status","Dublin City","Female","65 - 69 years","Number","9772"
"Population","2011","All marital status","Dublin City","Female","70 - 74 years","Number","9128"
"Population","2011","All marital status","Dublin City","Female","75 - 79 years","Number","8116"
"Population","2011","All marital status","Dublin City","Female","80 - 84 years","Number","6288"
"Population","2011","All marital status","Dublin City","Female","85 years and over","Number","5560"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Both sexes","All ages","Number","206261"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Both sexes","Under 25 years","Number","66468"
