"Statistic Label","CensusYear","Detailed Marital Status","County and City","Sex","Age Group","UNIT","VALUE"
"Population","2011","Registered same-sex civil partnership","Dún Laoghaire-Rathdown","Female","35 - 39 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Dún Laoghaire-Rathdown","Female","40 - 44 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Dún Laoghaire-Rathdown","Female","45 - 49 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Dún Laoghaire-Rathdown","Female","50 - 54 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Dún Laoghaire-Rathdown","Female","55 - 59 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Dún Laoghaire-Rathdown","Female","60 - 64 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Dún Laoghaire-Rathdown","Female","65 - 69 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Dún Laoghaire-Rathdown","Female","70 - 74 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Dún Laoghaire-Rathdown","Female","75 - 79 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Dún Laoghaire-Rathdown","Female","80 - 84 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Dún Laoghaire-Rathdown","Female","85 years and over","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Both sexes","All ages","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Both sexes","Under 25 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Both sexes","25 - 29 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Both sexes","30 - 34 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Both sexes","35 - 39 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Both sexes","40 - 44 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Both sexes","45 - 49 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Both sexes","50 - 54 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Both sexes","55 - 59 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Both sexes","60 - 64 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Both sexes","65 - 69 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Both sexes","70 - 74 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Both sexes","75 - 79 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Both sexes","80 - 84 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Both sexes","85 years and over","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Male","All ages","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Male","Under 25 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Male","25 - 29 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Male","30 - 34 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Male","35 - 39 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Male","40 - 44 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Male","45 - 49 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Male","50 - 54 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Male","55 - 59 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Male","60 - 64 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Male","65 - 69 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Male","70 - 74 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Male","75 - 79 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Male","80 - 84 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Male","85 years and over","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Female","All ages","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Female","Under 25 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Female","25 - 29 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Female","30 - 34 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Female","35 - 39 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Female","40 - 44 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Female","45 - 49 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Female","50 - 54 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Female","55 - 59 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Female","60 - 64 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Female","65 - 69 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Female","70 - 74 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Female","75 - 79 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Female","80 - 84 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Fingal","Female","85 years and over","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Both sexes","All ages","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Both sexes","Under 25 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Both sexes","25 - 29 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Both sexes","30 - 34 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Both sexes","35 - 39 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Both sexes","40 - 44 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Both sexes","45 - 49 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Both sexes","50 - 54 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Both sexes","55 - 59 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Both sexes","60 - 64 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Both sexes","65 - 69 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Both sexes","70 - 74 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Both sexes","75 - 79 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Both sexes","80 - 84 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Both sexes","85 years and over","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Male","All ages","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Male","Under 25 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Male","25 - 29 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Male","30 - 34 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Male","35 - 39 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Male","40 - 44 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Male","45 - 49 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Male","50 - 54 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Male","55 - 59 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Male","60 - 64 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Male","65 - 69 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Male","70 - 74 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Male","75 - 79 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Male","80 - 84 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Male","85 years and over","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Female","All ages","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Female","Under 25 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Female","25 - 29 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Female","30 - 34 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Female","35 - 39 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Female","40 - 44 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Female","45 - 49 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Female","50 - 54 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Female","55 - 59 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Female","60 - 64 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Female","65 - 69 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Female","70 - 74 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Female","75 - 79 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Female","80 - 84 years","Number","0"
"Population","2011","Registered same-sex civil partnership","South Dublin","Female","85 years and over","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Both sexes","All ages","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Both sexes","Under 25 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Both sexes","25 - 29 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Both sexes","30 - 34 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Both sexes","35 - 39 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Both sexes","40 - 44 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Both sexes","45 - 49 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Both sexes","50 - 54 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Both sexes","55 - 59 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Both sexes","60 - 64 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Both sexes","65 - 69 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Both sexes","70 - 74 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Both sexes","75 - 79 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Both sexes","80 - 84 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Both sexes","85 years and over","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Male","All ages","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Male","Under 25 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Male","25 - 29 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Male","30 - 34 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Male","35 - 39 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Male","40 - 44 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Male","45 - 49 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Male","50 - 54 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Male","55 - 59 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Male","60 - 64 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Male","65 - 69 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Male","70 - 74 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Male","75 - 79 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Male","80 - 84 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Male","85 years and over","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Female","All ages","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Female","Under 25 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Female","25 - 29 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Female","30 - 34 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Female","35 - 39 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Female","40 - 44 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Female","45 - 49 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Female","50 - 54 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Female","55 - 59 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Female","60 - 64 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Female","65 - 69 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Female","70 - 74 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Female","75 - 79 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Female","80 - 84 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kildare","Female","85 years and over","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Both sexes","All ages","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Both sexes","Under 25 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Both sexes","25 - 29 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Both sexes","30 - 34 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Both sexes","35 - 39 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Both sexes","40 - 44 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Both sexes","45 - 49 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Both sexes","50 - 54 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Both sexes","55 - 59 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Both sexes","60 - 64 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Both sexes","65 - 69 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Both sexes","70 - 74 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Both sexes","75 - 79 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Both sexes","80 - 84 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Both sexes","85 years and over","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Male","All ages","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Male","Under 25 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Male","25 - 29 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Male","30 - 34 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Male","35 - 39 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Male","40 - 44 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Male","45 - 49 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Male","50 - 54 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Male","55 - 59 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Male","60 - 64 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Male","65 - 69 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Male","70 - 74 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Male","75 - 79 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Male","80 - 84 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Male","85 years and over","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Female","All ages","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Female","Under 25 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Female","25 - 29 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Female","30 - 34 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Female","35 - 39 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Female","40 - 44 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Female","45 - 49 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Female","50 - 54 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Female","55 - 59 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Female","60 - 64 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Female","65 - 69 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Female","70 - 74 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Female","75 - 79 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Female","80 - 84 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Kilkenny","Female","85 years and over","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Both sexes","All ages","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Both sexes","Under 25 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Both sexes","25 - 29 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Both sexes","30 - 34 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Both sexes","35 - 39 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Both sexes","40 - 44 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Both sexes","45 - 49 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Both sexes","50 - 54 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Both sexes","55 - 59 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Both sexes","60 - 64 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Both sexes","65 - 69 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Both sexes","70 - 74 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Both sexes","75 - 79 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Both sexes","80 - 84 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Both sexes","85 years and over","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Male","All ages","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Male","Under 25 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Male","25 - 29 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Male","30 - 34 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Male","35 - 39 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Male","40 - 44 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Male","45 - 49 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Male","50 - 54 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Male","55 - 59 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Male","60 - 64 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Male","65 - 69 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Male","70 - 74 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Male","75 - 79 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Male","80 - 84 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Male","85 years and over","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Female","All ages","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Female","Under 25 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Female","25 - 29 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Female","30 - 34 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Female","35 - 39 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Female","40 - 44 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Female","45 - 49 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Female","50 - 54 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Female","55 - 59 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Female","60 - 64 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Female","65 - 69 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Female","70 - 74 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Female","75 - 79 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Female","80 - 84 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Laois","Female","85 years and over","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Both sexes","All ages","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Both sexes","Under 25 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Both sexes","25 - 29 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Both sexes","30 - 34 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Both sexes","35 - 39 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Both sexes","40 - 44 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Both sexes","45 - 49 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Both sexes","50 - 54 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Both sexes","55 - 59 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Both sexes","60 - 64 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Both sexes","65 - 69 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Both sexes","70 - 74 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Both sexes","75 - 79 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Both sexes","80 - 84 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Both sexes","85 years and over","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Male","All ages","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Male","Under 25 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Male","25 - 29 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Male","30 - 34 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Male","35 - 39 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Male","40 - 44 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Male","45 - 49 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Male","50 - 54 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Male","55 - 59 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Male","60 - 64 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Male","65 - 69 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Male","70 - 74 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Male","75 - 79 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Male","80 - 84 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Male","85 years and over","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Female","All ages","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Female","Under 25 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Female","25 - 29 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Female","30 - 34 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Female","35 - 39 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Female","40 - 44 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Female","45 - 49 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Female","50 - 54 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Female","55 - 59 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Female","60 - 64 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Female","65 - 69 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Female","70 - 74 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Female","75 - 79 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Female","80 - 84 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Longford","Female","85 years and over","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Both sexes","All ages","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Both sexes","Under 25 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Both sexes","25 - 29 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Both sexes","30 - 34 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Both sexes","35 - 39 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Both sexes","40 - 44 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Both sexes","45 - 49 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Both sexes","50 - 54 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Both sexes","55 - 59 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Both sexes","60 - 64 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Both sexes","65 - 69 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Both sexes","70 - 74 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Both sexes","75 - 79 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Both sexes","80 - 84 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Both sexes","85 years and over","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Male","All ages","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Male","Under 25 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Male","25 - 29 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Male","30 - 34 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Male","35 - 39 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Male","40 - 44 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Male","45 - 49 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Male","50 - 54 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Male","55 - 59 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Male","60 - 64 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Male","65 - 69 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Male","70 - 74 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Male","75 - 79 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Male","80 - 84 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Male","85 years and over","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Female","All ages","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Female","Under 25 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Female","25 - 29 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Female","30 - 34 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Female","35 - 39 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Female","40 - 44 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Female","45 - 49 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Female","50 - 54 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Female","55 - 59 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Female","60 - 64 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Female","65 - 69 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Female","70 - 74 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Female","75 - 79 years","Number","0"
"Population","2011","Registered same-sex civil partnership","Louth","Female","80 - 84 years","Number","0"
