"Statistic Label","Sex","Socio Economic Group","Nationality","CensusYear","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Malawian","2016","Number","34"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Moroccan","2011","Number","35"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Moroccan","2016","Number","22"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Batswana","2011","Number","13"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Batswana","2016","Number","17"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Indian","2011","Number","9035"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Indian","2016","Number","4109"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Filipino","2011","Number","5661"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Filipino","2016","Number","1066"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Chinese","2011","Number","535"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Chinese","2016","Number","685"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Pakistani","2011","Number","279"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Pakistani","2016","Number","290"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Malaysian","2011","Number","116"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Malaysian","2016","Number","79"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Bangladeshi","2011","Number","39"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Bangladeshi","2016","Number","47"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Iraqi","2011","Number","78"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Iraqi","2016","Number","18"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Saudi","2011","Number","24"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Saudi","2016","Number","45"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Thai","2011","Number","109"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Thai","2016","Number","146"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Georgian","2011","Number","41"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Georgian","2016","Number","19"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Iranian","2011","Number","58"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Iranian","2016","Number","66"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Israeli","2011","Number","27"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Israeli","2016","Number","149"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Japanese","2011","Number","127"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Japanese","2016","Number","176"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","South Korean","2011","Number","77"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","South Korean","2016","Number","93"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Kuwaiti","2011","Number","9"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Kuwaiti","2016","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Mongolian","2011","Number","30"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Mongolian","2016","Number","20"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Nepalese","2011","Number","18"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Nepalese","2016","Number","20"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Omani","2011","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Omani","2016","Number","7"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Singaporean","2011","Number","20"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Singaporean","2016","Number","14"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Sri Lankan","2011","Number","36"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Sri Lankan","2016","Number","32"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Syrian","2011","Number","16"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Syrian","2016","Number","43"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Taiwanese","2011","Number","21"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Taiwanese","2016","Number","42"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Vietnamese","2011","Number","48"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Vietnamese","2016","Number","38"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","American (US)","2011","Number","1704"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","American (US)","2016","Number","1571"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Brazilian","2011","Number","310"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Brazilian","2016","Number","992"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Canadian","2011","Number","386"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Canadian","2016","Number","328"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Argentine","2011","Number","72"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Argentine","2016","Number","108"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Chilean","2011","Number","36"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Chilean","2016","Number","37"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Colombian","2011","Number","39"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Colombian","2016","Number","31"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Mexican","2011","Number","58"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Mexican","2016","Number","68"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Venezuelan","2011","Number","24"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Venezuelan","2016","Number","115"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Afghan","2011","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Afghan","2016","Number","25"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Australian","2011","Number","595"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Australian","2016","Number","423"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","New Zealander","2011","Number","248"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","New Zealander","2016","Number","166"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Multi nationality","2011","Number","122"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Multi nationality","2016","Number","880"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","No nationality","2011","Number","83"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","No nationality","2016","Number","71"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Not stated","2011","Number","2398"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Not stated","2016","Number","2656"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Belarusian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Belarusian","2016","Number","78"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Bosnian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Bosnian","2016","Number","33"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Bulgarian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Bulgarian","2016","Number","47"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Croatian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Croatian","2016","Number","26"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Czech","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Czech","2016","Number","32"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Finnish","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Finnish","2016","Number","38"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-French","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-French","2016","Number","436"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-German","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-German","2016","Number","274"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Hungarian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Hungarian","2016","Number","77"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Italian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Italian","2016","Number","178"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Latvian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Latvian","2016","Number","55"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Lithuanian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Lithuanian","2016","Number","78"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Dutch","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Dutch","2016","Number","80"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Polish","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Polish","2016","Number","855"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Portuguese","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Portuguese","2016","Number","40"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Romanian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Romanian","2016","Number","283"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Slovakian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Slovakian","2016","Number","39"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Spanish","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Spanish","2016","Number","199"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Swedish","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Swedish","2016","Number","58"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Other European","2011","Number","1446"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Other European","2016","Number","962"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Algerian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Algerian","2016","Number","66"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Congolese","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Congolese","2016","Number","6"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Egyptian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Egyptian","2016","Number","46"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Libyan","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Libyan","2016","Number","26"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Nigerian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Nigerian","2016","Number","1133"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-South African","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-South African","2016","Number","409"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Sudanese","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Sudanese","2016","Number","15"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Zimbabwean","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Zimbabwean","2016","Number","86"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Other African","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Other African","2016","Number","252"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Chinese","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Chinese","2016","Number","72"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Indian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Indian","2016","Number","527"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Iranian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Iranian","2016","Number","25"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Iraqi","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Iraqi","2016","Number","27"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Japanese","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Japanese","2016","Number","64"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Malaysian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Malaysian","2016","Number","27"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Pakistani","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Pakistani","2016","Number","153"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Filipino","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Filipino","2016","Number","1703"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Thai","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Thai","2016","Number","92"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Vietnamese","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Vietnamese","2016","Number","56"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Other Asian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Other Asian","2016","Number","160"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Brazilian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Brazilian","2016","Number","110"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Canadian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Canadian","2016","Number","603"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Mexican","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Mexican","2016","Number","49"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Other American","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Other American","2016","Number","139"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Australian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-Australian","2016","Number","1381"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-New Zealander","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Irish-New Zealander","2016","Number","189"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Other European","2011","Number","49"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Other European","2016","Number","50"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Other African","2011","Number","154"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Other African","2016","Number","106"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Other Asian","2011","Number","154"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Other Asian","2016","Number","101"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Other American","2011","Number","158"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Other American","2016","Number","120"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Other nationalities","2011","Number","256"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Other nationalities","2016","Number","162"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Kosovan","2011","Number","8"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","Kosovan","2016","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","All nationalities","2011","Number","548589"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","C. Lower professional","All nationalities","2016","Number","614828"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Irish","2011","Number","793369"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Irish","2016","Number","846399"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Irish-American","2011","Number","2330"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Irish-American","2016","Number","2911"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Irish-Other","2011","Number","2652"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Irish-Other","2016","Number","452"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","UK","2011","Number","21741"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","UK","2016","Number","20563"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Austrian","2011","Number","174"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Austrian","2016","Number","200"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Belgian","2011","Number","228"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Belgian","2016","Number","245"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Danish","2011","Number","161"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Danish","2016","Number","169"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Finnish","2011","Number","249"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Finnish","2016","Number","230"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","French","2011","Number","2559"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","French","2016","Number","2955"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","German","2011","Number","2514"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","German","2016","Number","2380"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Greek","2011","Number","151"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Greek","2016","Number","218"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Italian","2011","Number","2510"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Italian","2016","Number","3663"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Luxembourger","2011","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Luxembourger","2016","Number","8"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Dutch","2011","Number","800"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Dutch","2016","Number","892"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Portuguese","2011","Number","688"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Portuguese","2016","Number","1107"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Spanish","2011","Number","2011"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Spanish","2016","Number","3392"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Swedish","2011","Number","459"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Swedish","2016","Number","372"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Cypriot","2011","Number","10"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Cypriot","2016","Number","22"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Czech","2011","Number","1518"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Czech","2016","Number","1252"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Estonian","2011","Number","753"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Estonian","2016","Number","599"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Irish-UK","2011","Number","2457"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Irish-UK","2016","Number","2881"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Hungarian","2011","Number","2570"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Hungarian","2016","Number","2746"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Latvian","2011","Number","4518"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Latvian","2016","Number","4297"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Lithuanian","2011","Number","8003"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Lithuanian","2016","Number","7724"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Maltese","2011","Number","31"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Maltese","2016","Number","30"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Polish","2011","Number","30940"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Polish","2016","Number","29375"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Slovak","2011","Number","3257"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Slovak","2016","Number","2632"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Slovenian","2011","Number","43"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Slovenian","2016","Number","81"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Bulgarian","2011","Number","392"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Bulgarian","2016","Number","606"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Romanian","2011","Number","3084"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Romanian","2016","Number","5848"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Croatian","2011","Number","159"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Croatian","2016","Number","1829"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Russian","2011","Number","638"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Russian","2016","Number","390"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Ukrainian","2011","Number","527"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Ukrainian","2016","Number","231"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Moldovan","2011","Number","454"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Moldovan","2016","Number","357"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Turk","2011","Number","285"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Turk","2016","Number","261"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Belarusian","2011","Number","234"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Belarusian","2016","Number","67"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","D. Non-manual","Bosnian and Herzegovinian","2011","Number","80"
