"Statistic Label","Census Year","Sex","County","Marital Status","UNIT","VALUE"
"Population","2016","Both Sexes","Waterford City and County","Married","Number","43719"
"Population","2016","Both Sexes","Waterford City and County","Separated","Number","3274"
"Population","2016","Both Sexes","Waterford City and County","Divorced","Number","2813"
"Population","2016","Both Sexes","Waterford City and County","Widowed","Number","5305"
"Population","2016","Both Sexes","Waterford City and County","Total","Number","116176"
"Population","2016","Both Sexes","Westmeath","Single","Number","47125"
"Population","2016","Both Sexes","Westmeath","Married","Number","33489"
"Population","2016","Both Sexes","Westmeath","Separated","Number","2531"
"Population","2016","Both Sexes","Westmeath","Divorced","Number","2014"
"Population","2016","Both Sexes","Westmeath","Widowed","Number","3611"
"Population","2016","Both Sexes","Westmeath","Total","Number","88770"
"Population","2016","Both Sexes","Wexford","Single","Number","77364"
"Population","2016","Both Sexes","Wexford","Married","Number","57279"
"Population","2016","Both Sexes","Wexford","Separated","Number","4504"
"Population","2016","Both Sexes","Wexford","Divorced","Number","3834"
"Population","2016","Both Sexes","Wexford","Widowed","Number","6741"
"Population","2016","Both Sexes","Wexford","Total","Number","149722"
"Population","2016","Both Sexes","Wicklow","Single","Number","74084"
"Population","2016","Both Sexes","Wicklow","Married","Number","55500"
"Population","2016","Both Sexes","Wicklow","Separated","Number","3875"
"Population","2016","Both Sexes","Wicklow","Divorced","Number","3574"
"Population","2016","Both Sexes","Wicklow","Widowed","Number","5392"
"Population","2016","Both Sexes","Wicklow","Total","Number","142425"
